LIB,Sample,PInumber,ISnum,WASAP,PlantName,Population,DuplicateLIBdecision,FilterMissing,Proportion.Missing,Proportion.Heterozygous,InbreedCoefficent,Kmeans_cluster,Germplasm,BotanicalType,CountryOrigin,Region,lat,lon,Elevation,Continent
BATNP,R.10010,NA,NA,NA,NA,Mullet,NA,remove,0.768033232,0.008931828,0.280115,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATNS,R.10011,NA,NA,NA,NA,Mullet,NA,remove,0.769136492,0.008007213,0.263329,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATNT,R.10012,NA,NA,NA,NA,Mullet,NA,remove,0.78410186,0.01016046,0.255653,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATNU,R.10026,NA,NA,NA,NA,Mullet,NA,remove,0.770416894,0.010132538,0.247853,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATNW,R.10034,NA,NA,NA,NA,Mullet,NA,remove,0.795023394,0.009397261,0.248823,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATNX,R.10036,NA,NA,NA,NA,Mullet,NA,remove,0.780268723,0.006901107,0.263849,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATNZ,R.10067,NA,NA,NA,NA,Mullet,NA,remove,0.780497195,0.008068157,0.256239,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATOA,R.10077,NA,NA,NA,NA,Mullet,NA,remove,0.784939572,0.008475811,0.230403,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATOB,R.10080,NA,NA,NA,NA,Mullet,NA,remove,0.795036843,0.0085328,0.254936,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATOC,R.10089,NA,NA,NA,NA,Mullet,NA,remove,0.793946534,0.008661123,0.27541,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATOG,R.10119,NA,NA,NA,NA,Mullet,NA,remove,0.779437001,0.008782978,0.285767,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATOH,R.10135,NA,NA,NA,NA,Mullet,NA,remove,0.791520777,0.013269953,0.217835,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATON,R.11403,NA,NA,NA,NA,Mullet,NA,remove,0.774002397,0.00939339,0.265049,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATOO,R.11404,NA,NA,NA,NA,Mullet,NA,remove,0.7817266,0.009111666,0.273967,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATOP,R.11407,NA,NA,NA,NA,Mullet,NA,remove,0.785134074,0.009059477,0.26388,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATOS,R.11408,NA,NA,NA,NA,Mullet,NA,remove,0.788227693,0.008130248,0.228981,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATOT,R.11411,NA,NA,NA,NA,Mullet,NA,remove,0.769864918,0.010724938,0.27722,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATOU,R.11420,NA,NA,NA,NA,Mullet,NA,remove,0.777958907,0.00937406,0.248854,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATOW,R.11421,NA,NA,NA,NA,Mullet,NA,remove,0.783961155,0.007581013,0.225848,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATOX,R.11424,NA,NA,NA,NA,Mullet,NA,remove,0.781425031,0.0077983,0.246495,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATOZ,R.11429,NA,NA,NA,NA,Mullet,NA,remove,0.787318297,0.008637365,0.243751,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATPA,R.11433,NA,NA,NA,NA,Mullet,NA,remove,0.774429115,0.010543514,0.245863,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATPB,R.11434,NA,NA,NA,NA,Mullet,NA,remove,0.776536137,0.008455522,0.241378,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATPC,R.11436,NA,NA,NA,NA,Mullet,NA,remove,0.764764079,0.010792276,0.336212,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATPG,R.11437,NA,NA,NA,NA,Mullet,NA,remove,0.771016095,0.008005728,0.261035,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATPH,R.11438,NA,NA,NA,NA,Mullet,NA,remove,0.765252497,0.010023264,0.272026,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATPN,R.11442,NA,NA,NA,NA,Mullet,NA,remove,0.767614723,0.007557886,0.26103,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATPO,R.11444,NA,NA,NA,NA,Mullet,NA,remove,0.776720157,0.007114712,0.22755,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATPP,R.11445,NA,NA,NA,NA,Mullet,NA,remove,0.777487821,0.007790173,0.250995,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATPT,R.11450,NA,NA,NA,NA,Mullet,NA,remove,0.770244188,0.007288934,0.264094,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATPU,R.11452,NA,NA,NA,NA,Mullet,NA,remove,0.787112426,0.013902552,0.180416,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATPW,R.11453,NA,NA,NA,NA,Mullet,NA,remove,0.778957678,0.007694567,0.226372,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATPX,R.11454,NA,NA,NA,NA,Mullet,NA,remove,0.767748523,0.007475437,0.262401,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATPY,R.11457,NA,NA,NA,NA,Mullet,NA,remove,0.772999162,0.006326449,0.236497,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATPZ,R.11458,NA,NA,NA,NA,Mullet,NA,remove,0.769590191,0.009092438,0.244933,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATSA,R.11459,NA,NA,NA,NA,Mullet,NA,remove,0.773879496,0.007680454,0.247216,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATSB,R.11461,NA,NA,NA,NA,Mullet,NA,remove,0.771292264,0.008569259,0.238805,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATSC,R.11462,NA,NA,NA,NA,Mullet,NA,remove,0.774330755,0.009595558,0.210989,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATSH,R.11471,NA,NA,NA,NA,Mullet,NA,remove,0.763656688,0.006787047,0.223297,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATSN,R.11472,NA,NA,NA,NA,Mullet,NA,remove,0.765368244,0.011438304,0.281344,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATSO,R.11473,NA,NA,NA,NA,Mullet,NA,remove,0.765832038,0.009783872,0.269928,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATSP,R.11477,NA,NA,NA,NA,Mullet,NA,remove,0.76189724,0.009401138,0.249675,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATSS,R.11479,NA,NA,NA,NA,Mullet,NA,remove,0.762364417,0.0087561,0.245951,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATST,R.11481,NA,NA,NA,NA,Mullet,NA,remove,0.768034369,0.008220454,0.233824,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATSU,R.11483,NA,NA,NA,NA,Mullet,NA,remove,0.758010944,0.007602408,0.246628,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATSW,R.11484,NA,NA,NA,NA,Mullet,NA,remove,0.769221292,0.006575436,0.227049,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATSX,R.11485,NA,NA,NA,NA,Mullet,NA,remove,0.765603815,0.008572354,0.275819,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATSY,R.11488,NA,NA,NA,NA,Mullet,NA,remove,0.762627247,0.006849085,0.231573,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAWWC,R.07007,NA,NA,NA,NA,Mullet,NA,remove,0.755918286,0.010036231,0.26358,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAWWG,R.07014,NA,NA,NA,NA,Mullet,NA,remove,0.754182576,0.007444299,0.244215,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAWWH,R.07018,NA,NA,NA,NA,Mullet,NA,remove,0.752906445,0.008994536,0.290304,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAWWN,R.07019,NA,NA,NA,NA,Mullet,NA,remove,0.777307184,0.008931091,0.203032,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAWWO,R.07020,NA,NA,NA,NA,Mullet,NA,remove,0.77928537,0.008871174,0.257167,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAWWS,Tx2909,NA,NA,NA,NA,Mullet,NA,remove,0.779243442,0.008440385,0.256121,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAWWT,Della,PI566819,NA,NA,DELLA,Mullet,remove,remove,0.781116972,0.004624607,0.25171,NA,Cultivar,NA,United States,Virginia,NA,NA,NA,Americas
BAWWU,M35-1,PI656047,NA,NA,M35-1,Mullet,remove,remove,0.786581026,0.008515533,0.24189,NA,Cultivar,NA,India,NA,NA,NA,NA,Asia
BAWWW,BTx645,NA,NA,NA,NA,Mullet,NA,remove,0.802011989,0.002190145,0.213968,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAWWX,RTx436,PI561071,NA,NA,RTx436,Mullet,remove,remove,0.774331087,0.006628106,0.243563,NA,Breeding,NA,United States,Texas,NA,NA,NA,Americas
BAWWY,SC56,PI533910,IS12568C,NA,Klor,Mullet,remove,remove,0.773710228,0.006027958,0.249073,NA,Breeding,Caudatum,Sudan,NA,NA,NA,NA,Africa
BAWWZ,R.11490,NA,NA,NA,NA,Mullet,NA,remove,0.763654857,0.005740991,0.270705,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAWXB,R.11492,NA,NA,NA,NA,Mullet,NA,remove,0.776916239,0.013824512,0.234519,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAWXC,R.11493,NA,NA,NA,NA,Mullet,NA,remove,0.773583583,0.009346498,0.270422,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAWXG,R.11496,NA,NA,NA,NA,Mullet,NA,remove,0.753516655,0.008439654,0.294241,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAWXH,R.11497,NA,NA,NA,NA,Mullet,NA,remove,0.7716887,0.009825696,0.24039,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAWXN,Double_Yellow_Milo,PI651094,IS8372,NA,Double_Yellow_Milo,Mullet,NA,remove,0.770647085,0.008390029,0.261258,NA,Breeding,NA,United States,California,40.6765,-95.8587,NA,Americas
BAWXO,Dwarf_Milo,NA,NA,NA,NA,Mullet,NA,remove,0.767427514,0.008907373,0.260866,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAWXS,Standard_Milo,NA,NA,NA,NA,Mullet,NA,remove,0.766474887,0.00842799,0.272387,NA,NA,NA,NA,NA,NA,NA,NA,NA
BWSSY,BTX642,PI656029,NA,NA,BTx642,JGI_Ref,remove,remove,0.801064464,0.007953298,0.219732,NA,Breeding,NA,United States,Texas,NA,NA,NA,Americas
CZGCW,NSL50587,PI665074,IS3614,NA,NSL50587,CASP_JohnVogel,remove,remove,0.828468422,0.010110165,0.15901,NA,Landrace,Guinea,Nigeria,NA,11.039999,7.42,NA,Africa
CZGCX,NSL52211,PI700524,IS7498,NA,NSL52211,CASP_JohnVogel,NA,remove,0.817481831,0.007750408,0.153147,NA,Landrace,NA,Nigeria,NA,NA,NA,NA,Africa
CZWYO,PI533755,PI533755,NA,NA,Feterita Gondal,CASP_JohnVogel,remove,remove,0.80442768,0.007473843,0.16282,NA,Breeding,NA,NA,NA,NA,NA,NA,NA
CZWYS,PI533772,PI533772,NA,NA,AD 9,CASP_JohnVogel,keep,remove,0.794884908,0.007914317,0.221406,NA,Breeding,NA,NA,NA,NA,NA,NA,NA
CZWYT,PI533773,PI533773,NA,NA,AD 10,CASP_JohnVogel,NA,remove,0.80978156,0.007552851,0.203252,NA,Breeding,Caudatum,NA,NA,NA,NA,NA,NA
CZWYW,PI533786,PI533786,NA,NA,SO 101,CASP_JohnVogel,NA,remove,0.916358536,0.007186142,0.080479,NA,Breeding,NA,NA,NA,NA,NA,NA,NA
CZWYX,PI533796,PI533796,IS12622C,NA,IS12622C,CASP_JohnVogel,NA,remove,0.790818113,0.007474372,0.231014,NA,Breeding,NA,NA,NA,NA,NA,NA,NA
CZWYY,PI533797,PI533797,IS12645C,NA,IS12645C,CASP_JohnVogel,remove,remove,0.787320128,0.008034794,0.239943,NA,Breeding,NA,NA,NA,NA,NA,NA,NA
CZWYZ,PI533799,PI533799,NA,NA,SAP-404,CASP_JohnVogel,remove,remove,0.815429716,0.005593276,0.170647,NA,Breeding,NA,NA,NA,NA,NA,NA,NA
CZWZA,PI533801,PI533801,NA,NA,Ethiopian Sel. #3,CASP_JohnVogel,NA,remove,0.782932879,0.010115451,0.262612,NA,Breeding,NA,NA,NA,NA,NA,NA,NA
CZWZC,PI533809,PI533809,IS1047C,NA,IS1047C,CASP_JohnVogel,NA,remove,0.801819428,0.007949594,0.199349,NA,Breeding,NA,India,NA,NA,NA,NA,Asia
CZWZH,PI533835,PI533835,NA,NA,Birgalli Ahmar,CASP_JohnVogel,NA,remove,0.851270412,0.005183106,0.134278,NA,Breeding,NA,NA,NA,NA,NA,NA,NA
CZWZP,PI533853,PI533853,NA,NA,Jandri Jokapal,CASP_JohnVogel,NA,remove,0.804209912,0.007570481,0.212354,NA,Breeding,NA,India,NA,NA,NA,NA,Asia
CZWZS,PI533901,PI533901,NA,NA,A-96,CASP_JohnVogel,remove,remove,0.796984359,0.006830612,0.161418,NA,Breeding,Caudatum,Japan,NA,NA,NA,NA,Asia
CZWZU,PI533903,PI533903,NA,NA,No. 35 Mab,CASP_JohnVogel,remove,remove,0.815041128,0.009255964,0.234097,NA,Breeding,Bicolor,Ethiopia,NA,NA,NA,NA,Africa
CZWZW,PI533904,PI533904,NA,NA,No. 33 Jinkuch,CASP_JohnVogel,NA,remove,0.791420781,0.008889813,0.269361,NA,Breeding,NA,Ethiopia,NA,NA,NA,NA,Africa
CZWZX,PI533908,PI533908,NA,NA,(Sweet) Sorghum vulgare,CASP_JohnVogel,NA,remove,0.783942687,0.008816357,0.289603,NA,Breeding,NA,Ethiopia,NA,NA,NA,NA,Africa
CZWZY,PI533911,PI533911,NA,NA,Kokla,CASP_JohnVogel,remove,remove,0.799548907,0.006790037,0.190312,NA,Breeding,Caudatum,Sudan,NA,13.03999996,30.20000076,NA,Africa
CZWZZ,PI533919,PI533919,NA,NA,"R1,4",CASP_JohnVogel,remove,remove,0.86416503,0.008224132,0.137947,NA,Breeding,Durra-Bicolor,Ethiopia,NA,NA,NA,NA,Africa
CZXAA,PI533920,PI533920,NA,NA,"R1,7",CASP_JohnVogel,NA,remove,0.818053996,0.008633006,0.226402,NA,Breeding,NA,Ethiopia,NA,NA,NA,NA,Africa
CZXAB,PI533922,PI533922,NA,NA,"R2,40",CASP_JohnVogel,NA,remove,0.848915701,0.008869739,0.170991,NA,Breeding,NA,Ethiopia,NA,NA,NA,NA,Africa
CZXAC,PI533924,PI533924,NA,NA,"R3,121",CASP_JohnVogel,remove,remove,0.865844364,0.009119171,0.150953,NA,Breeding,NA,Ethiopia,NA,NA,NA,NA,Africa
CZXAG,PI533925,PI533925,NA,NA,"R3,122",CASP_JohnVogel,NA,remove,0.831741346,0.00817947,0.199346,NA,Breeding,NA,Ethiopia,NA,NA,NA,NA,Africa
CZXAN,PI533940,PI533940,NA,NA,AS 4601 Pawaga,CASP_JohnVogel,remove,remove,0.847300203,0.005732439,0.138604,NA,Breeding,Bicolor,Tanzania,NA,NA,NA,NA,Africa
CZXAS,PI533972,PI533972,NA,NA,Dobbs,CASP_JohnVogel,remove,remove,0.834737908,0.005562146,0.141741,NA,Breeding,Caudatum,Uganda,NA,NA,NA,NA,Africa
CZXAT,PI533998,PI533998,NA,NA,Brawley,CASP_JohnVogel,remove,remove,0.820875883,0.006384596,0.177831,NA,Breeding,Bicolor,NA,NA,NA,NA,NA,NA
CZXAU,PI533999,PI533999,NA,NA,No. 115 Aba Yase,CASP_JohnVogel,NA,remove,0.909395148,0.008515207,0.096807,NA,Breeding,NA,Ethiopia,NA,NA,NA,NA,Africa
CZXAX,PI534037,PI534037,NA,NA,6428 Sian,CASP_JohnVogel,remove,remove,0.830292176,0.00704686,0.176877,NA,Breeding,Guinea-Caudatum,Chad,NA,NA,NA,NA,Africa
CZXAZ,PI534053,PI534053,NA,NA,T 28,CASP_JohnVogel,remove,remove,0.833249111,0.006805961,0.143404,NA,Breeding,Caudatum,Uganda,NA,NA,NA,NA,Africa
CZXBA,PI534054,PI534054,NA,NA,194 Kano,CASP_JohnVogel,remove,remove,0.822477266,0.008676595,0.168167,NA,Breeding,Kafir-Caudatum,Kenya,NA,NA,NA,NA,Africa
CZXBB,PI534055,PI534055,NA,NA,Andro Pagam,CASP_JohnVogel,NA,remove,0.811953415,0.008244253,0.18489,NA,Breeding,NA,Niger,NA,NA,NA,NA,Africa
CZXBG,PI534057,PI534057,NA,NA,Kaum Awonzuma,CASP_JohnVogel,NA,remove,0.803615092,0.009472317,0.187388,NA,Breeding,NA,Nigeria,NA,NA,NA,NA,Africa
CZXBH,PI534058,PI534058,NA,NA,AD 3 Nyanyiri,CASP_JohnVogel,NA,remove,0.819717828,0.006910709,0.18676,NA,Breeding,NA,Nigeria,NA,NA,NA,NA,Africa
CZXBN,PI534059,PI534059,NA,NA,AD 7,CASP_JohnVogel,NA,remove,0.800241838,0.006600779,0.206644,NA,Breeding,NA,Nigeria,NA,NA,NA,NA,Africa
CZXBO,PI534060,PI534060,NA,NA,AD 18,CASP_JohnVogel,NA,remove,0.779816355,0.007833641,0.244733,NA,Breeding,NA,Nigeria,NA,NA,NA,NA,Africa
CZXBP,PI534063,PI534063,NA,NA,BO 36,CASP_JohnVogel,remove,remove,0.790749286,0.009371366,0.207987,NA,Breeding,NA,Nigeria,NA,NA,NA,NA,Africa
CZXBT,PI534067,PI534067,NA,NA,BA 20,CASP_JohnVogel,NA,remove,0.785682473,0.008537151,0.226135,NA,Breeding,NA,Nigeria,NA,NA,NA,NA,Africa
CZXBU,PI534074,PI534074,NA,NA,KA 17,CASP_JohnVogel,NA,remove,0.790500737,0.008701993,0.228557,NA,Breeding,NA,Nigeria,NA,NA,NA,NA,Africa
CZXBX,PI534120,PI534120,NA,NA,"Sumac No. 2, Baijo, Shoa, Ethiopia",CASP_JohnVogel,remove,remove,0.849754716,0.007616955,0.175511,NA,Breeding,NA,Ethiopia,NA,NA,NA,NA,Africa
CZXBZ,PI534123,PI534123,NA,NA,"No. 25 Gobo, Kaichama Ethiopia",CASP_JohnVogel,remove,remove,0.781937658,0.007944054,0.263965,NA,Breeding,Durra-Bicolor,Ethiopia,NA,9.300000191,42.13000107,NA,Africa
CZXCB,PI534125,PI534125,NA,NA,"No. 30 Maho, Verso, Sakoru Ethiopia",CASP_JohnVogel,NA,remove,0.800521695,0.009196975,0.232873,NA,Breeding,NA,Ethiopia,NA,NA,NA,NA,Africa
CZXCG,PI534127,PI534127,NA,NA,"No. 37 Ubi, Abelti Ethiopia",CASP_JohnVogel,remove,remove,0.812041321,0.008337957,0.225717,NA,Breeding,Kafir-Bicolor,Ethiopia,NA,8.159999847,37.56000137,NA,Africa
CZXCN,PI534134,PI534134,NA,NA,"No. 61 Motei, Kembolcha Ethiopia",CASP_JohnVogel,NA,remove,0.792151703,0.008892124,0.259721,NA,Breeding,NA,Ethiopia,NA,NA,NA,NA,Africa
CZXCO,PI534136,PI534136,NA,NA,Durra,CASP_JohnVogel,NA,remove,0.788446403,0.00964136,0.253057,NA,Breeding,Durra-Bicolor,Ethiopia,NA,NA,NA,NA,Africa
CZXCP,PI534147,PI534147,NA,NA,"R1, 3",CASP_JohnVogel,remove,remove,0.809846699,0.009037389,0.183924,NA,Breeding,Durra-Bicolor,Ethiopia,NA,NA,NA,NA,Africa
CZXCS,PI534148,PI534148,NA,NA,"R1, 21",CASP_JohnVogel,remove,remove,0.7935331,0.009002252,0.214009,NA,Breeding,Durra-Bicolor,Ethiopia,NA,9.579999924,41.86000061,NA,Africa
CZXCT,PI534149,PI534149,NA,NA,"R1, 22",CASP_JohnVogel,NA,remove,0.80113099,0.008848104,0.249426,NA,Breeding,NA,Ethiopia,NA,NA,NA,NA,Africa
CZXCU,PI534150,PI534150,NA,NA,"R1, 23",CASP_JohnVogel,NA,remove,0.794282268,0.009992109,0.258754,NA,Breeding,NA,Ethiopia,NA,NA,NA,NA,Africa
CZXCW,PI534151,PI534151,NA,NA,"R1, 25",CASP_JohnVogel,NA,remove,0.820892604,0.008479838,0.198451,NA,Breeding,Durra-Bicolor,Ethiopia,NA,NA,NA,NA,Africa
CZXCX,PI534152,PI534152,NA,NA,"R1, 27",CASP_JohnVogel,NA,remove,0.81214043,0.008851326,0.212348,NA,Breeding,NA,Ethiopia,NA,NA,NA,NA,Africa
CZXCZ,PI534159,PI534159,IS12672C,NA,Collubi Dwarf,CASP_JohnVogel,NA,remove,0.787738443,0.00899518,0.241036,NA,Breeding,Durra-Bicolor,Ethiopia,NA,NA,NA,NA,Africa
CZXGA,PI576337,PI576337,NA,NA,SAP-280,CASP_JohnVogel,remove,remove,0.809556915,0.008872348,0.167376,NA,Breeding,NA,Uganda,NA,NA,NA,NA,Africa
CZXGC,PI576357,PI576357,NA,NA,Farin Kawa,CASP_JohnVogel,NA,remove,0.785810616,0.008903084,0.223924,NA,Breeding,NA,Nigeria,NA,NA,NA,NA,Africa
CZXGG,PI576379,PI576379,NA,NA,Mashila,CASP_JohnVogel,NA,remove,0.83275731,0.008335112,0.19731,NA,Breeding,NA,Ethiopia,NA,NA,NA,NA,Africa
CZXGN,PI576427,PI576427,NA,NA,Mashila,CASP_JohnVogel,NA,remove,0.800945528,0.00746221,0.222328,NA,Breeding,NA,Ethiopia,NA,NA,NA,NA,Africa
CZXGO,PI576429,PI576429,NA,NA,Malwal sonj,CASP_JohnVogel,NA,remove,0.780490207,0.007236274,0.210852,NA,Breeding,NA,Sudan,NA,NA,NA,NA,Africa
